group|smarts|contribute
CHNH2|[CH][NH2]|"{""CHNH2"": 1, ""CH"": -1}"
CH3NH|[CH3][NH][#6]|"{""CH3NH"": 1, ""CH3"": -1}"
CH2NH|[CH2][NH][#6]|"{""CH2NH"": 1, ""CH2"": -1}"
CHNH|[CH][NH][#6]|"{""CHNH"": 1, ""CH"": -1}"
CH3N|[CH3][N]([#6])[#6]|"{""CH3N"": 1, ""CH3"": -1}"
CH2N|[CH2][N]([#6])[#6]|"{""CH2N"": 1, ""CH2"": -1}"
ACNH2|[cH0][NH2]|"{""ACNH2"": 1, ""AC"": -1}"
C5H5N|[n](:[cH]:[cH]1):[cH]:[cH]:[cH]:1|"{""C5H5N"": 1, ""ACH"": -5}"
C5H4N|[n](:[cH0]:[cH]1):[cH]:[cH]:[cH]:1 [n](:[cH]:[cH0]1):[cH]:[cH]:[cH]:1 [n](:[cH]:[cH]1):[cH0]:[cH]:[cH]:1 [n](:[cH]:[cH]1):[cH]:[cH]:[cH0]:1|"{""C5H4N"": 1, ""ACH"": -4, ""AC"":-1}"
C5H3N|[n](:[cH]:[cH]1):[cH0]:[cH0]:[cH]:1 [n](:[cH]:[cH]1):[cH0]:[cH]:[cH0]:1 [n](:[cH]:[cH0]1):[cH0]:[cH]:[cH]:1 [n](:[cH0]:[cH]1):[cH0]:[cH]:[cH]:1 [n](:[cH]:[cH]1):[cH]:[cH0]:[cH0]:1|"{""C5H3N"": 1, ""ACH"": -3, ""AC"": -2}"
CH3CN|[CH3][C]#[N]|"{""CH3CN"": 1, ""CH3"": -1}"
CH2CN|[CH2][C]#[N]|"{""CH2CN"": 1, ""CH2"": -1}"
COOH|[C]([#6])(=O)(-[OH])|"{""COOH"": 1, ""OH"": -1}"
HCOOH|[CH](=O)(-[OH])|"{""HCOOH"": 1, ""OH"": -1}"
CH2CL|[CH2](Cl)|"{""CH2CL"": 1, ""CH2"": -1}"
CHCL|[CH](Cl)|"{""CHCL"": 1, ""CH"": -1}"
CCL|[C](Cl)|"{""CCL"": 1}"
CH2CL2|[CH2](Cl)(Cl)|"{""CH2CL2"": 1, ""CH2"": -1}"
CHCL2|[CH](Cl)(Cl)(*)|"{""CHCL2"": 1, ""CH"": -1}"
CCL2|[C](Cl)(Cl)|"{""CCL2"": 1}"
CHCL3||"{""CHCL3"": 1}"
CCL3||"{""CCL3"": 1}"
CCL4||"{""CCL4"": 1}"
ACCL||"{""ACCL"": 1}"
CH3NO2||"{""CH3NO2"": 1}"
CH2NO2||"{""CH2NO2"": 1}"
CHNO2||"{""CHNO2"": 1}"
ACNO2||"{""ACNO2"": 1}"
CS2||"{""CS2"": 1}"
CH3SH||"{""CH3SH"": 1}"
CH2SH||"{""CH2SH"": 1}"
FURFURAL||"{""FURFURAL"": 1}"
DOH||"{""DOH"": 1}"
I||"{""I"": 1}"
BR||"{""BR"": 1}"
CH=-C||"{""CH=-C"": 1}"
C=-C||"{""C=-C"": 1}"
DMSO||"{""DMSO"": 1}"
ACRY||"{""ACRY"": 1}"
CL-(C=C)||"{""CL-(C=C)"": 1}"
C=C|[CH0]=[CH0]|"{""C=C"": 1}"
ACF||"{""ACF"": 1}"
DMF||"{""DMF"": 1}"
HCON(..||"{""HCON(.."": 1}"
CF3||"{""CF3"": 1}"
CF2||"{""CF2"": 1}"
CF||"{""CF"": 1}"
COO||"{""COO"": 1}"
SIH3||"{""SIH3"": 1}"
SIH2||"{""SIH2"": 1}"
SIH||"{""SIH"": 1}"
SI||"{""SI"": 1}"
SIH2O||"{""SIH2O"": 1}"
SIHO||"{""SIHO"": 1}"
SIO||"{""SIO"": 1}"
NMP||"{""NMP"": 1}"
CCL3F||"{""CCL3F"": 1}"
CCL2F||"{""CCL2F"": 1}"
HCCL2F||"{""HCCL2F"": 1}"
HCCLF||"{""HCCLF"": 1}"
CCLF2||"{""CCLF2"": 1}"
HCCLF2||"{""HCCLF2"": 1}"
CCLF3||"{""CCLF3"": 1}"
CCL2F2||"{""CCL2F2"": 1}"
AMH2||"{""AMH2"": 1}"
AMHCH3||"{""AMHCH3"": 1}"
AMHCH2||"{""AMHCH2"": 1}"
AM(CH3)2||"{""AM(CH3)2"": 1}"
AMCH3CH2||"{""AMCH3CH2"": 1}"
AM(CH2)2||"{""AM(CH2)2"": 1}"
C2H5O2||"{""C2H5O2"": 1}"
C2H4O2||"{""C2H4O2"": 1}"
CH3S||"{""CH3S"": 1}"
CH2S||"{""CH2S"": 1}"
CHS||"{""CHS"": 1}"
MORPH||"{""MORPH"": 1}"
C4H4S||"{""C4H4S"": 1}"
C4H3S||"{""C4H3S"": 1}"
C4H2S||"{""C4H2S"": 1}"
NCO||"{""NCO"": 1}"
(CH2)2SU||"{""(CH2)2SU"": 1}"
CH2CHSU||"{""CH2CHSU"": 1}"
IMIDAZOL||"{""IMIDAZOL"": 1}"
BTI||"{""BTI"": 1}"
